subj,subject,delay,unrelated_enc,incongruent_forgotten,total_num_catch,lured_by_context,arbitrary_false_alarm,prop_bias
1,P101_20181029,short,38,13,20,9,3,0.461538462
2,S102_20181101,short,41,20,19,5,1,0.2
3,S103_20181112,short,41,25,19,1,0,0.04
4,S104_20181113,short,37,15,20,2,2,0
5,S105_20181113,short,40,8,20,3,1,0.25
6,S106_20181119,short,40,14,20,8,2,0.428571429
7,S107_20181126,short,37,5,20,2,1,0.2
8,S108_20181126,short,40,6,20,4,0,0.666666667
9,S109_20190114,short,42,12,20,1,3,-0.166666667
10,S110_20190120,short,40,3,20,1,2,-0.333333333
11,S211_20190131,short,38,4,20,2,2,0
12,S212_20190210,short,39,2,19,1,1,0
13,S213_20190213,short,40,1,20,1,0,1
14,S214_20190216,short,41,7,20,6,1,0.714285714
15,S215_20190228,short,37,14,18,4,9,-0.357142857
16,S216_20190307,short,40,5,18,2,2,0
17,S217_20190319,short,40,0,20,0,0,0
18,S218_20190323,short,38,10,20,3,4,-0.1
19,S219_20190329,short,40,3,20,2,1,0.333333333
20,S220_20190405,short,42,20,19,16,4,0.6
21,S221_20190411,short,40,15,20,8,5,0.2
22,S222_20190414,short,41,7,20,5,2,0.428571429
23,S223_20190527,short,41,1,20,0,0,0
1,P201_20181101,long,39,25,20,14,6,0.32
5,S205_20181116,long,39,27,20,10,6,0.148148148
6,S206_20181122,long,39,22,19,12,5,0.318181818
7,S207_20181129,long,39,21,20,13,7,0.285714286
9,S209_20190117,long,40,20,19,9,6,0.15
10,S210_20190123,long,38,18,20,10,6,0.222222222
11,S211_20190131,long,34,16,19,8,7,0.0625
12,S212_20190210,long,39,15,20,10,5,0.333333333
13,S213_20190213,long,40,17,19,5,7,-0.117647059
14,S214_20190216,long,38,19,20,9,9,0
15,S215_20190228,long,39,16,19,4,10,-0.375
16,S216_20190307,long,38,22,19,13,3,0.454545455
18,S218_20190323,long,41,24,20,9,10,-0.041666667
19,S219_20190329,long,40,26,19,10,0,0.384615385
20,S220_20190405,long,38,26,19,19,7,0.461538462
21,S221_20190411,long,39,24,20,19,5,0.583333333
22,S222_20190414,long,42,20,20,11,8,0.15
23,S223_20190527,long,40,17,20,2,0,0.117647059
17,S217_20190319,long,40,24,20,3,2,0.041666667